epoch	dice_coef	iou	loss	lr	precision	recall	val_dice_coef	val_iou	val_loss	val_precision	val_recall
0	0.923606038	0.861459672	0.076393232	1.00E-04	0.9160043	0.938059032	0.953493118	0.912254572	0.046555724	0.943867624	0.962993443
1	0.948831499	0.904120922	0.051165942	1.00E-04	0.941896498	0.959045768	0.952067316	0.909607351	0.047952279	0.950030446	0.954728961
2	0.955856621	0.916659236	0.04414022	1.00E-04	0.950069964	0.96459806	0.952186048	0.910119951	0.047862761	0.952200174	0.95310998
3	0.960963726	0.925814092	0.039032396	1.00E-04	0.956063032	0.968394697	0.956955731	0.918821871	0.043087728	0.948343813	0.965406418
4	0.964894533	0.933020055	0.035101432	1.00E-04	0.960251808	0.971794605	0.960636616	0.92536968	0.03939946	0.958996117	0.963098049
5	0.968969405	0.940424263	0.031025903	1.00E-04	0.964858651	0.974921942	0.960998833	0.925945103	0.039031938	0.956493318	0.965067685
6	0.970882893	0.943962812	0.029113758	1.00E-04	0.9675349	0.975734055	0.96592778	0.934874713	0.03410393	0.964956284	0.966756642
7	0.974703729	0.951055706	0.025292672	1.00E-04	0.971616209	0.979324877	0.96069026	0.925395072	0.039344802	0.967170894	0.955263972
8	0.973191917	0.948392212	0.026802763	1.00E-04	0.970203042	0.977674663	0.96391499	0.931575298	0.036121543	0.965414107	0.963237762
9	0.976031661	0.953629255	0.023963898	1.00E-04	0.972971201	0.980391085	0.960362494	0.925320387	0.039675437	0.966894925	0.954835951
10	0.977148294	0.955769539	0.022847161	1.00E-04	0.974458575	0.980969489	0.946496904	0.901304245	0.053553291	0.925964177	0.968592763
11	0.978559554	0.958338857	0.021437058	1.00E-04	0.97616899	0.982112765	0.962230086	0.928262711	0.037800018	0.95212239	0.97308284
12	0.979094625	0.959355414	0.020901052	1.00E-04	0.976848602	0.982446253	0.960757911	0.925727069	0.039283779	0.957909763	0.964905322
13	0.980313182	0.961679578	0.019683767	1.00E-04	0.978319347	0.983447671	0.966528237	0.936074615	0.033504911	0.968744993	0.965411365
14	0.980864525	0.96272862	0.0191318	1.00E-04	0.978990793	0.983766258	0.966009676	0.935056031	0.034016382	0.970544994	0.963333249
15	0.981954694	0.964770555	0.018042568	1.00E-04	0.980270505	0.984596908	0.966107965	0.935391724	0.033921435	0.964746952	0.969424307
